# Original file: "vega_c95.fits"
# this is the vega spectrum from ATLAS12
# It covers 0.09 - 2.6 microns with uniform spacing of 0.1nm
# downloaded from here: ftp://ftp.stsci.edu/cdbs/grid/k93models/standards/
# see the readme there for more details.
#
# wavelength units are angstroms
# flux units are erg cm-2 s-1 angstrom-1

wavelength flux
1141.500 2.03765E-10
1142.500 2.83698E-10
1143.500 1.28774E-10
1144.500 2.06596E-10
1145.500 3.14341E-10
1146.500 2.94551E-10
1147.500 2.55851E-10
1148.500 2.20837E-10
1149.500 3.17988E-10
1150.500 2.80103E-10
1151.500 3.36543E-10
1152.500 2.09644E-10
1153.500 2.48004E-10
1154.500 2.47539E-10
1155.500 2.89436E-10
1156.500 1.82772E-10
1157.500 1.49223E-10
1158.500 5.10389E-11
1159.500 2.06650E-10
1160.500 2.14989E-10
1161.500 2.35399E-10
1162.500 2.15966E-10
1163.500 1.90215E-10
1164.500 1.39676E-10
1165.500 1.77098E-10
1166.500 1.50463E-10
1167.500 1.32683E-10
1168.500 1.00613E-10
1169.500 9.90982E-11
1170.500 8.49239E-11
1171.500 7.59259E-11
1172.500 9.74111E-11
1173.500 8.81569E-11
1174.500 8.18338E-11
1175.500 6.54679E-11
1176.500 7.03785E-11
1177.500 6.06209E-11
1178.500 6.39276E-11
1179.500 5.33721E-11
1180.500 4.24523E-11
1181.500 3.81627E-11
1182.500 4.07545E-11
1183.500 3.21449E-11
1184.500 3.22793E-11
1185.500 2.89171E-11
1186.500 3.05170E-11
1187.500 2.49667E-11
1188.500 2.08228E-11
1189.500 1.52387E-11
1190.500 9.95260E-12
1191.500 1.84564E-11
1192.500 1.44087E-11
1193.500 6.23818E-12
1194.500 5.12752E-12
1195.500 1.43061E-11
1196.500 1.48488E-11
1197.500 9.54033E-12
1198.500 1.32126E-11
1199.500 1.07147E-11
1200.500 9.87605E-12
1201.500 1.09842E-11
1202.500 1.10074E-11
1203.500 1.00395E-11
1204.500 9.04993E-12
1205.500 8.07604E-12
1206.500 7.07979E-12
1207.500 6.33916E-12
1208.500 5.44141E-12
1209.500 4.48643E-12
1210.500 3.58478E-12
1211.500 2.64925E-12
1212.500 1.75948E-12
1213.500 9.54599E-13
1214.500 3.52644E-13
1215.500 4.57604E-14
1216.500 2.14911E-13
1217.500 7.52722E-13
1218.500 1.56208E-12
1219.500 2.49334E-12
1220.500 3.53194E-12
1221.500 4.61313E-12
1222.500 5.70707E-12
1223.500 6.83435E-12
1224.500 7.69444E-12
1225.500 8.96387E-12
1226.500 9.90719E-12
1227.500 1.11182E-11
1228.500 1.19298E-11
1229.500 1.37279E-11
1230.500 1.43376E-11
1231.500 1.60709E-11
1232.500 1.79488E-11
1233.500 1.75272E-11
1234.500 2.00345E-11
1235.500 2.14320E-11
1236.500 2.29061E-11
1237.500 2.44902E-11
1238.500 2.62202E-11
1239.500 3.71778E-11
1240.500 6.83475E-11
1241.500 8.17211E-11
1242.500 9.08404E-11
1243.500 8.56750E-11
1244.500 1.08681E-10
1245.500 1.15717E-10
